Ingredient Name,SuperClass ,ConceptNet Link,Resources/Notes
CHEESE,,,
EGGS,,,
MILK,,,
CHICKEN,,,
TURKEY,,,
OATMEAL,,,
CEREAL,,,
FRUITS,,,
FRUITS(DRIED),,,
PORK,,,
BACON,,,
HAM/PICNIC,,,
SAUSAGE,,,
"VEG, GREENS",,,
POTATOES,,,
"VEG, ROOTS",,,
SWEETPOTAOTES,,,
SWEETPOTATOES,,,
TOMATOES,,,
"VEG, OTHER",,,
NUTS,,,
BEEF,,,
LIVER,,,
ORGAN MEATS(NOTLIVER) FRIED,,,
ORGAN MEATS(NOTLIVER)SIMMRD,,,
ORGAN MEATS(NOTLIVER) REHEATED,,,
ALC BEV,,,
FINFISH,,,
FINFISH(FROZEN),,,
"SHELLFISH, W/SHELL",,,
"SHELLFISH, WO/SHELL",,,
"SEAFOOD, FROG",,,
LEGUMES,,,
LAMB,,,
VEAL,,,
VEAL.SLICES,,,
FLOUR/MEAL,,,
PASTA,,,
RICE,,,
